category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
26,471266.0,23634.0,460,1714.0,0,0,0
24,1073134.0,47793.0,1886,5358.0,0,0,0
17,18573.0,420.0,10,236.0,0,0,0
27,250193.0,5748.0,332,1197.0,0,0,0
28,1827.0,3.0,0,2.0,0,0,0
28,2457408.0,2707.0,200,209.0,0,0,0
23,51143.0,258.0,5,10.0,0,0,0
24,27010.0,1666.0,36,150.0,0,0,0
26,122669.0,5723.0,55,263.0,0,0,0
22,358597.0,1211.0,72,593.0,0,0,0
24,56012.0,6243.0,106,414.0,0,0,0
22,6148.0,121.0,3,19.0,0,0,0
26,1390440.0,86207.0,1775,710.0,0,0,0
25,244532.0,633.0,174,765.0,0,0,0
24,82087.0,998.0,93,289.0,0,0,0
23,359120.0,15130.0,223,1143.0,0,0,0
25,33768.0,426.0,88,550.0,0,0,0
10,38068.0,2195.0,28,154.0,0,0,0
26,1277364.0,56867.0,2148,25326.0,0,0,0
10,1498866.0,67227.0,1473,4645.0,0,0,0
22,280065.0,20289.0,38,939.0,0,0,0
22,2259.0,0.0,0,0.0,0,0,0
17,470191.0,4037.0,430,1553.0,0,0,0
17,16305.0,147.0,13,47.0,0,0,0
25,169511.0,57.0,59,79.0,0,0,0
24,160477.0,8388.0,691,950.0,0,0,0
2,704363.0,16352.0,224,841.0,0,0,0
22,130778.0,5684.0,53,737.0,0,0,0
28,560569.0,29990.0,341,1788.0,0,0,0
23,462490.0,14132.0,795,666.0,0,0,0
23,295217.0,4854.0,1439,1855.0,0,0,0
24,1525400.0,63995.0,896,4697.0,0,0,0
28,1836419.0,28647.0,17815,7860.0,0,0,0
26,977285.0,87615.0,391,5575.0,0,0,0
28,390964.0,3687.0,1273,1224.0,0,0,0
23,1611093.0,58474.0,837,3294.0,0,0,0
23,983365.0,60983.0,578,3837.0,0,0,0
23,2765121.0,35529.0,1705,2388.0,0,0,0
28,3701763.0,56561.0,2495,11608.0,0,0,0
1,829132.0,25109.0,316,3428.0,0,0,0
24,391049.0,5939.0,106,385.0,0,0,0
25,137003.0,580.0,262,343.0,0,0,0
23,891912.0,122347.0,455,7459.0,0,0,0
26,175539.0,17130.0,264,1747.0,0,0,0
24,14565.0,478.0,13,67.0,0,0,0
10,125645.0,16754.0,65,1373.0,0,0,0
22,2188590.0,88099.0,7150,24225.0,0,0,0
1,394709.0,25188.0,281,1345.0,0,0,0
24,863116.0,20518.0,1030,4272.0,0,0,0
17,200235.0,1197.0,108,627.0,0,0,0
24,681944.0,131784.0,9892,18284.0,0,0,0
10,122426.0,6310.0,298,1624.0,0,0,0
28,758998.0,19138.0,2272,2873.0,0,0,0
26,145100.0,5198.0,74,657.0,0,0,0
1,2671756.0,12699.0,505,1010.0,0,0,0
24,52743.0,4553.0,33,550.0,0,0,0
28,681944.0,6095.0,61,731.0,0,0,0
24,11404.0,62.0,26,20.0,0,0,0
27,419965.0,9805.0,1337,5457.0,0,0,0
23,137749.0,1145.0,61,131.0,0,0,0
24,772235.0,15301.0,1229,3328.0,0,0,0
27,297147.0,10410.0,110,665.0,0,0,0
24,126438.0,12229.0,86,1865.0,0,0,0
